Rank,Club,Country,Level,Elo,From,To
None,Atalanta,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Atalanta,ITA,1,1708.20446777,1946-09-23,1946-09-29
None,Atalanta,ITA,1,1718.9420166,1946-09-30,1946-10-06
None,Atalanta,ITA,1,1716.38916016,1946-10-07,1946-10-13
None,Atalanta,ITA,1,1719.34875488,1946-10-14,1946-10-20
None,Atalanta,ITA,1,1716.86462402,1946-10-21,1946-10-27
None,Atalanta,ITA,1,1718.88439941,1946-10-28,1946-11-03
None,Atalanta,ITA,1,1704.50268555,1946-11-04,1946-11-10
None,Atalanta,ITA,1,1697.328125,1946-11-11,1946-11-12
None,Atalanta,ITA,1,1690.50158691,1946-11-13,1946-11-24
None,Atalanta,ITA,1,1696.43664551,1946-11-25,1946-12-07
None,Atalanta,ITA,1,1698.43664551,1946-12-08,1946-12-08
None,Atalanta,ITA,1,1693.4161377,1946-12-09,1946-12-15
None,Atalanta,ITA,1,1685.2677002,1946-12-16,1946-12-22
None,Atalanta,ITA,1,1682.53039551,1946-12-23,1946-12-29
None,Atalanta,ITA,1,1669.42919922,1946-12-30,1947-01-05
None,Atalanta,ITA,1,1673.3605957,1947-01-06,1947-01-12
None,Atalanta,ITA,1,1673.61901855,1947-01-13,1947-01-19
None,Atalanta,ITA,1,1680.61743164,1947-01-20,1947-01-26
None,Atalanta,ITA,1,1683.53686523,1947-01-27,1947-02-02
None,Atalanta,ITA,1,1690.01757812,1947-02-03,1947-02-16
None,Atalanta,ITA,1,1685.13757324,1947-02-17,1947-02-23
None,Atalanta,ITA,1,1667.5546875,1947-02-24,1947-03-02
None,Atalanta,ITA,1,1681.69055176,1947-03-03,1947-03-09
None,Atalanta,ITA,1,1691.04711914,1947-03-10,1947-03-16
None,Atalanta,ITA,1,1695.15368652,1947-03-17,1947-03-23
None,Atalanta,ITA,1,1701.32800293,1947-03-24,1947-03-30
None,Atalanta,ITA,1,1706.84411621,1947-03-31,1947-04-06
None,Atalanta,ITA,1,1716.7232666,1947-04-07,1947-04-13
None,Atalanta,ITA,1,1721.9543457,1947-04-14,1947-04-20
None,Atalanta,ITA,1,1724.88354492,1947-04-21,1947-04-28
None,Atalanta,ITA,1,1727.88354492,1947-04-29,1947-05-04
None,Atalanta,ITA,1,1723.72363281,1947-05-05,1947-05-14
None,Atalanta,ITA,1,1726.72363281,1947-05-15,1947-05-18
None,Atalanta,ITA,1,1722.52124023,1947-05-19,1947-05-25
None,Atalanta,ITA,1,1732.97766113,1947-05-26,1947-06-01
None,Atalanta,ITA,1,1729.57043457,1947-06-02,1947-06-08
None,Atalanta,ITA,1,1726.14501953,1947-06-09,1947-06-15
None,Atalanta,ITA,1,1731.67163086,1947-06-16,1947-06-22
None,Atalanta,ITA,1,1724.28710938,1947-06-23,1947-06-29
None,Atalanta,ITA,1,1728.19030762,1947-06-30,1947-07-06
None,Atalanta,ITA,1,1717.96557617,1947-07-07,1947-09-14
None,Atalanta,ITA,1,1724.73303223,1947-09-15,1947-09-21
None,Atalanta,ITA,1,1722.34191895,1947-09-22,1947-09-28
None,Atalanta,ITA,1,1714.9942627,1947-09-29,1947-10-05
None,Atalanta,ITA,1,1712.57666016,1947-10-06,1947-10-12
None,Atalanta,ITA,1,1719.8671875,1947-10-13,1947-10-19
None,Atalanta,ITA,1,1713.69335938,1947-10-20,1947-10-26
None,Atalanta,ITA,1,1703.83935547,1947-10-27,1947-11-02
None,Atalanta,ITA,1,1700.93994141,1947-11-03,1947-11-15
None,Atalanta,ITA,1,1671.93994141,1947-11-16,1947-11-16
None,Atalanta,ITA,1,1669.12365723,1947-11-17,1947-11-23
None,Atalanta,ITA,1,1663.59240723,1947-11-24,1947-11-30
None,Atalanta,ITA,1,1667.33312988,1947-12-01,1947-12-14
None,Atalanta,ITA,1,1673.49328613,1947-12-15,1947-12-18
None,Atalanta,ITA,1,1677.49328613,1947-12-19,1947-12-21
None,Atalanta,ITA,1,1688.07922363,1947-12-22,1948-01-01
None,Atalanta,ITA,1,1692.05517578,1948-01-02,1948-01-04
None,Atalanta,ITA,1,1697.67443848,1948-01-05,1948-01-11
None,Atalanta,ITA,1,1700.6081543,1948-01-12,1948-01-18
None,Atalanta,ITA,1,1692.81091309,1948-01-19,1948-01-25
None,Atalanta,ITA,1,1698.91992188,1948-01-26,1948-02-01
None,Atalanta,ITA,1,1693.41967773,1948-02-02,1948-02-08
None,Atalanta,ITA,1,1695.69689941,1948-02-09,1948-02-15
None,Atalanta,ITA,1,1685.02209473,1948-02-16,1948-02-22
None,Atalanta,ITA,1,1707.37548828,1948-02-23,1948-02-29
None,Atalanta,ITA,1,1712.44885254,1948-03-01,1948-03-07
None,Atalanta,ITA,1,1710.66662598,1948-03-08,1948-03-14
None,Atalanta,ITA,1,1705.07885742,1948-03-15,1948-03-21
None,Atalanta,ITA,1,1710.78601074,1948-03-22,1948-03-28
None,Atalanta,ITA,1,1705.35266113,1948-03-29,1948-04-05
None,Atalanta,ITA,1,1711.35266113,1948-04-06,1948-04-11
None,Atalanta,ITA,1,1722.15820312,1948-04-12,1948-04-17
None,Atalanta,ITA,1,1729.23864746,1948-04-18,1948-04-25
None,Atalanta,ITA,1,1729.35058594,1948-04-26,1948-05-02
