Rank,Club,Country,Level,Elo,From,To
None,Betis,ESP,1,1636.70458984,1939-10-22,1939-12-03
None,Betis,ESP,1,1618.34082031,1939-12-04,1939-12-10
None,Betis,ESP,1,1621.91491699,1939-12-11,1939-12-17
None,Betis,ESP,1,1609.7598877,1939-12-18,1939-12-24
None,Betis,ESP,1,1608.08654785,1939-12-25,1939-12-31
None,Betis,ESP,1,1601.45153809,1940-01-01,1940-01-07
None,Betis,ESP,1,1608.33825684,1940-01-08,1940-01-14
None,Betis,ESP,1,1600.21228027,1940-01-15,1940-01-21
None,Betis,ESP,1,1606.53063965,1940-01-22,1940-01-28
None,Betis,ESP,1,1599.40551758,1940-01-29,1940-02-04
None,Betis,ESP,1,1609.21777344,1940-02-05,1940-02-11
None,Betis,ESP,1,1601.93823242,1940-02-12,1940-02-18
None,Betis,ESP,1,1592.93481445,1940-02-19,1940-02-25
None,Betis,ESP,1,1583.54797363,1940-02-26,1940-03-03
None,Betis,ESP,1,1581.77172852,1940-03-04,1940-03-10
None,Betis,ESP,1,1586.10644531,1940-03-11,1940-03-17
None,Betis,ESP,1,1596.12988281,1940-03-18,1940-03-24
None,Betis,ESP,1,1588.92199707,1940-03-25,1940-03-31
None,Betis,ESP,1,1570.93786621,1940-04-01,1940-04-07
None,Betis,ESP,1,1567.99267578,1940-04-08,1940-04-14
None,Betis,ESP,1,1572.89001465,1940-04-15,1940-04-21
None,Betis,ESP,1,1564.82739258,1940-04-22,1940-04-28
None,Betis,ESP,1,1574.13208008,1940-04-29,1940-07-06
None,Betis,ESP,1,1534.86486816,1942-07-05,1942-09-27
None,Betis,ESP,1,1530.30029297,1942-09-28,1942-10-04
None,Betis,ESP,1,1516.46557617,1942-10-05,1942-10-11
None,Betis,ESP,1,1510.99902344,1942-10-12,1942-10-18
None,Betis,ESP,1,1524.66430664,1942-10-19,1942-10-25
None,Betis,ESP,1,1519.5201416,1942-10-26,1942-11-01
None,Betis,ESP,1,1517.70361328,1942-11-02,1942-11-08
None,Betis,ESP,1,1513.30834961,1942-11-09,1942-11-15
