Rank,Club,Country,Level,Elo,From,To
None,Bologna,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Bologna,ITA,1,1732.96716309,1946-09-23,1946-09-29
None,Bologna,ITA,1,1750.48095703,1946-09-30,1946-10-06
None,Bologna,ITA,1,1759.63720703,1946-10-07,1946-10-13
None,Bologna,ITA,1,1755.97912598,1946-10-14,1946-10-20
None,Bologna,ITA,1,1760.36621094,1946-10-21,1946-10-27
None,Bologna,ITA,1,1769.96606445,1946-10-28,1946-11-03
None,Bologna,ITA,1,1775.08178711,1946-11-04,1946-11-10
None,Bologna,ITA,1,1763.0769043,1946-11-11,1946-11-12
None,Bologna,ITA,1,1769.25268555,1946-11-13,1946-11-24
None,Bologna,ITA,1,1770.98022461,1946-11-25,1946-12-07
None,Bologna,ITA,1,1772.98022461,1946-12-08,1946-12-08
None,Bologna,ITA,1,1770.67919922,1946-12-09,1946-12-15
None,Bologna,ITA,1,1764.09765625,1946-12-16,1946-12-22
None,Bologna,ITA,1,1754.90393066,1946-12-23,1946-12-29
None,Bologna,ITA,1,1744.2421875,1946-12-30,1947-01-05
None,Bologna,ITA,1,1753.0526123,1947-01-06,1947-01-12
None,Bologna,ITA,1,1736.55285645,1947-01-13,1947-01-19
None,Bologna,ITA,1,1729.55456543,1947-01-20,1947-01-26
None,Bologna,ITA,1,1735.6472168,1947-01-27,1947-02-02
None,Bologna,ITA,1,1737.00134277,1947-02-03,1947-02-16
None,Bologna,ITA,1,1727.87036133,1947-02-17,1947-02-23
None,Bologna,ITA,1,1723.81835938,1947-02-24,1947-03-02
None,Bologna,ITA,1,1733.07458496,1947-03-03,1947-03-09
None,Bologna,ITA,1,1723.28039551,1947-03-10,1947-03-16
None,Bologna,ITA,1,1712.46386719,1947-03-17,1947-03-23
None,Bologna,ITA,1,1720.19177246,1947-03-24,1947-03-30
None,Bologna,ITA,1,1716.46081543,1947-03-31,1947-04-06
None,Bologna,ITA,1,1716.88537598,1947-04-07,1947-04-13
None,Bologna,ITA,1,1708.97375488,1947-04-14,1947-04-20
None,Bologna,ITA,1,1713.8527832,1947-04-21,1947-04-28
None,Bologna,ITA,1,1716.8527832,1947-04-29,1947-05-04
None,Bologna,ITA,1,1712.4699707,1947-05-05,1947-05-14
None,Bologna,ITA,1,1715.4699707,1947-05-15,1947-05-18
None,Bologna,ITA,1,1720.9342041,1947-05-19,1947-05-25
None,Bologna,ITA,1,1729.99609375,1947-05-26,1947-06-01
None,Bologna,ITA,1,1725.02990723,1947-06-02,1947-06-15
None,Bologna,ITA,1,1727.1496582,1947-06-16,1947-06-22
None,Bologna,ITA,1,1734.53405762,1947-06-23,1947-06-29
None,Bologna,ITA,1,1737.4453125,1947-06-30,1947-07-06
None,Bologna,ITA,1,1733.1282959,1947-07-07,1947-09-14
None,Bologna,ITA,1,1726.79492188,1947-09-15,1947-09-21
None,Bologna,ITA,1,1717.41430664,1947-09-22,1947-09-28
None,Bologna,ITA,1,1724.76196289,1947-09-29,1947-10-05
None,Bologna,ITA,1,1740.26025391,1947-10-06,1947-10-12
None,Bologna,ITA,1,1735.51574707,1947-10-13,1947-10-19
None,Bologna,ITA,1,1732.21606445,1947-10-20,1947-10-26
None,Bologna,ITA,1,1735.89257812,1947-10-27,1947-11-02
