Rank,Club,Country,Level,Elo,From,To
None,Bordeaux,FRA,1,1341.29150391,1945-07-01,1945-08-26
None,Bordeaux,FRA,1,1346.54162598,1945-08-27,1945-09-02
None,Bordeaux,FRA,1,1327.94555664,1945-09-03,1945-09-09
None,Bordeaux,FRA,1,1339.4375,1945-09-10,1945-09-16
None,Bordeaux,FRA,1,1332.0333252,1945-09-17,1945-09-23
None,Bordeaux,FRA,1,1341.37158203,1945-09-24,1945-09-30
None,Bordeaux,FRA,1,1331.44055176,1945-10-01,1945-10-07
None,Bordeaux,FRA,1,1345.04602051,1945-10-08,1945-10-14
None,Bordeaux,FRA,1,1338.87451172,1945-10-15,1945-10-21
None,Bordeaux,FRA,1,1337.00354004,1945-10-22,1945-10-28
None,Bordeaux,FRA,1,1339.94750977,1945-10-29,1945-11-04
None,Bordeaux,FRA,1,1332.09240723,1945-11-05,1945-11-11
None,Bordeaux,FRA,1,1340.28112793,1945-11-12,1945-11-18
None,Bordeaux,FRA,1,1334.50390625,1945-11-19,1945-12-02
None,Bordeaux,FRA,1,1338.65393066,1945-12-03,1945-12-09
None,Bordeaux,FRA,1,1324.69091797,1945-12-10,1945-12-16
None,Bordeaux,FRA,1,1312.69091797,1945-12-17,1945-12-23
None,Bordeaux,FRA,1,1310.84899902,1945-12-24,1945-12-30
None,Bordeaux,FRA,1,1314.00415039,1945-12-31,1946-01-13
None,Bordeaux,FRA,1,1316.06811523,1946-01-14,1946-01-20
None,Bordeaux,FRA,1,1330.74450684,1946-01-21,1946-01-27
None,Bordeaux,FRA,1,1333.73547363,1946-01-28,1946-02-10
None,Bordeaux,FRA,1,1338.55078125,1946-02-11,1946-02-17
None,Bordeaux,FRA,1,1341.11254883,1946-02-18,1946-02-24
None,Bordeaux,FRA,1,1323.92382812,1946-02-25,1946-03-10
None,Bordeaux,FRA,1,1313.56787109,1946-03-11,1946-03-24
None,Bordeaux,FRA,1,1302.04199219,1946-03-25,1946-04-07
None,Bordeaux,FRA,1,1306.47216797,1946-04-08,1946-04-11
None,Bordeaux,FRA,1,1328.47216797,1946-04-12,1946-04-14
None,Bordeaux,FRA,1,1317.4407959,1946-04-15,1946-04-16
None,Bordeaux,FRA,1,1310.4407959,1946-04-17,1946-04-21
None,Bordeaux,FRA,1,1322.06982422,1946-04-22,1946-04-28
None,Bordeaux,FRA,1,1325.71838379,1946-04-29,1946-05-05
None,Bordeaux,FRA,1,1313.92980957,1946-05-06,1946-05-08
None,Bordeaux,FRA,1,1331.92980957,1946-05-09,1946-05-12
None,Bordeaux,FRA,1,1345.29943848,1946-05-13,1946-05-19
None,Bordeaux,FRA,1,1332.40734863,1946-05-20,1946-05-26
None,Bordeaux,FRA,1,1324.34838867,1946-05-27,1946-06-02
None,Bordeaux,FRA,1,1335.51098633,1946-06-03,1946-08-18
None,Bordeaux,FRA,1,1311.58972168,1946-08-19,1946-08-25
None,Bordeaux,FRA,1,1289.18237305,1946-08-26,1946-09-01
None,Bordeaux,FRA,1,1290.34606934,1946-09-02,1946-09-08
None,Bordeaux,FRA,1,1293.44482422,1946-09-09,1946-09-12
None,Bordeaux,FRA,1,1299.43981934,1946-09-13,1946-09-15
None,Bordeaux,FRA,1,1288.66247559,1946-09-16,1946-09-22
None,Bordeaux,FRA,1,1284.90026855,1946-09-23,1946-09-26
None,Bordeaux,FRA,1,1290.07836914,1946-09-27,1946-09-29
None,Bordeaux,FRA,1,1285.32775879,1946-09-30,1946-10-06
None,Bordeaux,FRA,1,1291.58569336,1946-10-07,1946-10-13
None,Bordeaux,FRA,1,1297.13146973,1946-10-14,1946-10-17
None,Bordeaux,FRA,1,1302.58666992,1946-10-18,1946-10-20
None,Bordeaux,FRA,1,1297.07702637,1946-10-21,1946-10-27
None,Bordeaux,FRA,1,1301.66967773,1946-10-28,1946-11-03
None,Bordeaux,FRA,1,1284.93579102,1946-11-04,1946-11-10
None,Bordeaux,FRA,1,1294.73742676,1946-11-11,1946-11-17
None,Bordeaux,FRA,1,1291.29931641,1946-11-18,1946-11-24
None,Bordeaux,FRA,1,1282.04248047,1946-11-25,1946-12-01
None,Bordeaux,FRA,1,1295.93981934,1946-12-02,1946-12-08
None,Bordeaux,FRA,1,1291.27172852,1946-12-09,1946-12-22
None,Bordeaux,FRA,1,1286.86364746,1946-12-23,1946-12-29
None,Bordeaux,FRA,1,1285.3762207,1946-12-30,1947-01-12
None,Bordeaux,FRA,1,1296.8347168,1947-01-13,1947-01-19
None,Bordeaux,FRA,1,1287.37316895,1947-01-20,1947-01-26
None,Bordeaux,FRA,1,1298.79321289,1947-01-27,1947-02-09
None,Bordeaux,FRA,1,1293.94726562,1947-02-10,1947-02-16
None,Bordeaux,FRA,1,1300.6763916,1947-02-17,1947-02-23
None,Bordeaux,FRA,1,1297.41137695,1947-02-24,1947-03-09
None,Bordeaux,FRA,1,1306.17260742,1947-03-10,1947-03-18
None,Bordeaux,FRA,1,1310.86096191,1947-03-19,1947-03-20
None,Bordeaux,FRA,1,1306.74414062,1947-03-21,1947-03-26
None,Bordeaux,FRA,1,1311.17346191,1947-03-27,1947-04-03
None,Bordeaux,FRA,1,1315.18664551,1947-04-04,1947-04-06
None,Bordeaux,FRA,1,1302.91772461,1947-04-07,1947-04-17
None,Bordeaux,FRA,1,1292.04736328,1947-04-18,1947-04-20
None,Bordeaux,FRA,1,1311.15527344,1947-04-21,1947-05-04
None,Bordeaux,FRA,1,1307.15527344,1947-05-05,1947-05-08
None,Bordeaux,FRA,1,1293.89526367,1947-05-09,1947-05-15
None,Bordeaux,FRA,1,1289.49304199,1947-05-16,1947-05-27
None,Bordeaux,FRA,1,1301.49304199,1947-05-28,1947-06-04
None,Bordeaux,FRA,1,1306.49304199,1947-06-05,1947-06-11
None,Bordeaux,FRA,1,1320.49304199,1947-06-12,1947-07-04
None,Bordeaux,FRA,1,1289.37231445,1949-07-02,1949-07-02
None,Bordeaux,FRA,1,1283.03649902,1949-07-03,1949-08-21
None,Bordeaux,FRA,1,1279.6965332,1949-08-22,1949-08-28
None,Bordeaux,FRA,1,1283.98632812,1949-08-29,1949-09-03
None,Bordeaux,FRA,1,1304.71435547,1949-09-04,1949-09-11
None,Bordeaux,FRA,1,1314.41796875,1949-09-12,1949-09-18
None,Bordeaux,FRA,1,1312.35534668,1949-09-19,1949-09-22
None,Bordeaux,FRA,1,1323.0,1949-09-23,1949-09-24
None,Bordeaux,FRA,1,1330.39477539,1949-09-25,1949-10-02
None,Bordeaux,FRA,1,1334.30505371,1949-10-03,1949-10-16
None,Bordeaux,FRA,1,1343.21594238,1949-10-17,1949-10-23
None,Bordeaux,FRA,1,1354.6784668,1949-10-24,1949-11-06
None,Bordeaux,FRA,1,1361.83740234,1949-11-07,1949-11-20
None,Bordeaux,FRA,1,1362.15527344,1949-11-21,1949-11-27
None,Bordeaux,FRA,1,1351.04553223,1949-11-28,1949-12-04
None,Bordeaux,FRA,1,1353.68762207,1949-12-05,1949-12-18
None,Bordeaux,FRA,1,1348.7824707,1949-12-19,1949-12-25
None,Bordeaux,FRA,1,1352.70715332,1949-12-26,1950-01-01
None,Bordeaux,FRA,1,1346.30273438,1950-01-02,1950-01-14
None,Bordeaux,FRA,1,1363.56311035,1950-01-15,1950-01-22
None,Bordeaux,FRA,1,1377.22094727,1950-01-23,1950-01-29
None,Bordeaux,FRA,1,1384.8828125,1950-01-30,1950-02-12
None,Bordeaux,FRA,1,1384.57946777,1950-02-13,1950-02-16
None,Bordeaux,FRA,1,1386.02148438,1950-02-17,1950-02-19
None,Bordeaux,FRA,1,1387.37646484,1950-02-20,1950-03-05
None,Bordeaux,FRA,1,1390.96801758,1950-03-06,1950-03-12
None,Bordeaux,FRA,1,1391.79150391,1950-03-13,1950-03-19
None,Bordeaux,FRA,1,1397.72094727,1950-03-20,1950-03-26
None,Bordeaux,FRA,1,1406.67175293,1950-03-27,1950-04-06
None,Bordeaux,FRA,1,1409.59106445,1950-04-07,1950-04-09
None,Bordeaux,FRA,1,1420.3416748,1950-04-10,1950-04-23
None,Bordeaux,FRA,1,1430.5378418,1950-04-24,1950-04-29
None,Bordeaux,FRA,1,1434.06860352,1950-04-30,1950-05-04
None,Bordeaux,FRA,1,1437.35217285,1950-05-05,1950-05-06
None,Bordeaux,FRA,1,1441.7175293,1950-05-07,1950-05-20
None,Bordeaux,FRA,1,1443.6394043,1950-05-21,1950-06-13
None,Bordeaux,FRA,1,1525.63830566,1950-06-14,1950-06-17
None,Bordeaux,FRA,1,1546.86499023,1950-06-18,1950-06-18
None,Bordeaux,FRA,1,1537.51428223,1950-06-19,1950-08-26
None,Bordeaux,FRA,1,1541.55004883,1950-08-27,1950-09-03
None,Bordeaux,FRA,1,1539.17297363,1950-09-04,1950-09-10
None,Bordeaux,FRA,1,1517.04248047,1950-09-11,1950-09-17
None,Bordeaux,FRA,1,1515.82177734,1950-09-18,1950-09-21
None,Bordeaux,FRA,1,1501.37011719,1950-09-22,1950-09-24
None,Bordeaux,FRA,1,1493.52160645,1950-09-25,1950-10-01
None,Bordeaux,FRA,1,1501.93359375,1950-10-02,1950-10-08
None,Bordeaux,FRA,1,1505.54931641,1950-10-09,1950-10-15
None,Bordeaux,FRA,1,1497.68273926,1950-10-16,1950-10-22
None,Bordeaux,FRA,1,1501.93847656,1950-10-23,1950-10-29
None,Bordeaux,FRA,1,1505.25732422,1950-10-30,1950-11-05
None,Bordeaux,FRA,1,1498.04370117,1950-11-06,1950-11-11
None,Bordeaux,FRA,1,1503.28991699,1950-11-12,1950-11-19
None,Bordeaux,FRA,1,1505.93640137,1950-11-20,1950-11-26
None,Bordeaux,FRA,1,1499.39611816,1950-11-27,1950-12-03
None,Bordeaux,FRA,1,1494.48034668,1950-12-04,1950-12-17
None,Bordeaux,FRA,1,1505.2010498,1950-12-18,1950-12-24
None,Bordeaux,FRA,1,1494.8795166,1950-12-25,1950-12-31
None,Bordeaux,FRA,1,1497.42822266,1951-01-01,1951-01-07
None,Bordeaux,FRA,1,1490.89123535,1951-01-08,1951-01-21
None,Bordeaux,FRA,1,1484.64196777,1951-01-22,1951-01-28
None,Bordeaux,FRA,1,1486.10656738,1951-01-29,1951-02-11
None,Bordeaux,FRA,1,1490.82678223,1951-02-12,1951-02-18
None,Bordeaux,FRA,1,1495.10754395,1951-02-19,1951-03-04
None,Bordeaux,FRA,1,1493.29797363,1951-03-05,1951-03-11
None,Bordeaux,FRA,1,1488.0612793,1951-03-12,1951-03-24
None,Bordeaux,FRA,1,1481.1842041,1951-03-25,1951-04-01
None,Bordeaux,FRA,1,1487.11572266,1951-04-02,1951-04-07
None,Bordeaux,FRA,1,1471.90185547,1951-04-08,1951-04-15
None,Bordeaux,FRA,1,1475.43212891,1951-04-16,1951-04-21
None,Bordeaux,FRA,1,1487.14257812,1951-04-22,1951-04-29
None,Bordeaux,FRA,1,1487.5123291,1951-04-30,1951-05-20
None,Bordeaux,FRA,1,1489.63134766,1951-05-21,1951-05-27
None,Bordeaux,FRA,1,1473.82775879,1951-05-28,1951-06-21
None,Bordeaux,FRA,1,1488.17919922,1951-06-22,1951-06-22
None,Bordeaux,FRA,1,1525.99353027,1951-06-23,1951-06-24
None,Bordeaux,FRA,1,1515.17565918,1951-06-25,1951-08-26
None,Bordeaux,FRA,1,1509.21777344,1951-08-27,1951-09-02
None,Bordeaux,FRA,1,1502.91760254,1951-09-03,1951-09-09
None,Bordeaux,FRA,1,1519.04003906,1951-09-10,1951-09-13
None,Bordeaux,FRA,1,1512.31933594,1951-09-14,1951-09-16
None,Bordeaux,FRA,1,1505.16125488,1951-09-17,1951-09-23
None,Bordeaux,FRA,1,1509.24255371,1951-09-24,1951-09-30
None,Bordeaux,FRA,1,1514.43139648,1951-10-01,1951-10-07
None,Bordeaux,FRA,1,1503.26342773,1951-10-08,1951-10-18
None,Bordeaux,FRA,1,1505.84411621,1951-10-19,1951-10-21
None,Bordeaux,FRA,1,1514.8840332,1951-10-22,1951-10-28
None,Bordeaux,FRA,1,1517.64416504,1951-10-29,1951-11-04
None,Bordeaux,FRA,1,1517.4017334,1951-11-05,1951-11-11
None,Bordeaux,FRA,1,1522.02905273,1951-11-12,1951-11-18
None,Bordeaux,FRA,1,1532.06164551,1951-11-19,1951-11-25
None,Bordeaux,FRA,1,1542.13049316,1951-11-26,1951-12-02
None,Bordeaux,FRA,1,1548.0447998,1951-12-03,1951-12-09
None,Bordeaux,FRA,1,1546.85705566,1951-12-10,1951-12-16
None,Bordeaux,FRA,1,1556.58117676,1951-12-17,1951-12-23
None,Bordeaux,FRA,1,1541.06286621,1951-12-24,1951-12-30
None,Bordeaux,FRA,1,1544.99987793,1951-12-31,1952-01-06
None,Bordeaux,FRA,1,1548.74731445,1952-01-07,1952-01-20
None,Bordeaux,FRA,1,1550.88769531,1952-01-21,1952-01-26
None,Bordeaux,FRA,1,1561.75097656,1952-01-27,1952-02-11
None,Bordeaux,FRA,1,1566.81469727,1952-02-12,1952-02-17
None,Bordeaux,FRA,1,1571.98962402,1952-02-18,1952-03-02
None,Bordeaux,FRA,1,1563.13842773,1952-03-03,1952-03-09
None,Bordeaux,FRA,1,1555.70373535,1952-03-10,1952-03-23
None,Bordeaux,FRA,1,1561.96533203,1952-03-24,1952-03-29
None,Bordeaux,FRA,1,1565.39147949,1952-03-30,1952-04-13
None,Bordeaux,FRA,1,1558.42016602,1952-04-14,1952-04-26
None,Bordeaux,FRA,1,1562.82458496,1952-04-27,1952-05-11
None,Bordeaux,FRA,1,1576.46813965,1952-05-12,1952-05-18
None,Bordeaux,FRA,1,1553.49572754,1952-05-19,1952-05-25
