Rank,Club,Country,Level,Elo,From,To
None,Burnley,ENG,2,1365.06604004,1946-07-07,1946-09-07
None,Burnley,ENG,2,1379.74658203,1946-09-08,1946-09-09
None,Burnley,ENG,2,1384.47399902,1946-09-10,1946-09-14
None,Burnley,ENG,2,1369.05688477,1946-09-15,1946-09-16
None,Burnley,ENG,2,1364.37451172,1946-09-17,1946-09-21
None,Burnley,ENG,2,1375.21252441,1946-09-22,1946-09-28
None,Burnley,ENG,2,1379.5123291,1946-09-29,1946-09-29
None,Burnley,ENG,2,1396.5123291,1946-09-30,1946-09-30
None,Burnley,ENG,2,1394.85876465,1946-10-01,1946-10-03
None,Burnley,ENG,2,1400.85876465,1946-10-04,1946-10-05
None,Burnley,ENG,2,1403.74829102,1946-10-06,1946-10-12
None,Burnley,ENG,2,1408.79260254,1946-10-13,1946-10-19
None,Burnley,ENG,2,1417.89501953,1946-10-20,1946-10-26
None,Burnley,ENG,2,1426.10229492,1946-10-27,1946-11-02
None,Burnley,ENG,2,1426.30310059,1946-11-03,1946-11-09
None,Burnley,ENG,2,1422.41821289,1946-11-10,1946-11-16
None,Burnley,ENG,2,1440.3770752,1946-11-17,1946-11-23
None,Burnley,ENG,2,1437.52612305,1946-11-24,1946-11-30
None,Burnley,ENG,2,1444.20910645,1946-12-01,1946-12-07
None,Burnley,ENG,2,1450.92126465,1946-12-08,1946-12-14
None,Burnley,ENG,2,1459.96826172,1946-12-15,1946-12-21
None,Burnley,ENG,2,1457.66247559,1946-12-22,1946-12-25
None,Burnley,ENG,2,1464.99145508,1946-12-26,1946-12-26
None,Burnley,ENG,2,1457.39111328,1946-12-27,1946-12-28
None,Burnley,ENG,2,1472.95007324,1946-12-29,1947-01-04
None,Burnley,ENG,2,1478.73254395,1947-01-05,1947-01-18
None,Burnley,ENG,2,1480.06689453,1947-01-19,1947-01-28
None,Burnley,ENG,2,1488.72924805,1947-01-29,1947-02-01
None,Burnley,ENG,2,1498.6105957,1947-02-02,1947-02-18
None,Burnley,ENG,2,1494.50708008,1947-02-19,1947-02-22
None,Burnley,ENG,2,1498.16674805,1947-02-23,1947-03-15
None,Burnley,ENG,2,1509.52209473,1947-03-16,1947-03-22
None,Burnley,ENG,2,1512.75720215,1947-03-23,1947-04-04
None,Burnley,ENG,2,1515.82421875,1947-04-05,1947-04-05
None,Burnley,ENG,2,1510.66870117,1947-04-06,1947-04-07
None,Burnley,ENG,2,1518.09143066,1947-04-08,1947-04-13
None,Burnley,ENG,2,1508.09143066,1947-04-14,1947-04-19
None,Burnley,ENG,2,1494.12524414,1947-04-20,1947-05-03
None,Burnley,ENG,2,1502.70471191,1947-05-04,1947-05-04
None,Burnley,ENG,2,1506.70471191,1947-05-05,1947-05-10
None,Burnley,ENG,2,1501.50402832,1947-05-11,1947-05-17
None,Burnley,ENG,2,1493.21044922,1947-05-18,1947-05-20
None,Burnley,ENG,2,1480.21044922,1947-05-21,1947-05-24
None,Burnley,ENG,2,1494.65405273,1947-05-25,1947-05-26
None,Burnley,ENG,2,1505.93383789,1947-05-27,1947-05-31
None,Burnley,ENG,2,1523.6126709,1947-06-01,1947-06-07
None,Burnley,ENG,2,1522.34362793,1947-06-08,1947-07-02
None,Burnley,ENG,1,1522.34362793,1947-07-03,1947-08-23
None,Burnley,ENG,1,1534.95239258,1947-08-24,1947-08-26
None,Burnley,ENG,1,1521.73828125,1947-08-27,1947-08-30
None,Burnley,ENG,1,1529.54040527,1947-08-31,1947-09-03
None,Burnley,ENG,1,1533.67126465,1947-09-04,1947-09-06
None,Burnley,ENG,1,1540.06286621,1947-09-07,1947-09-08
None,Burnley,ENG,1,1541.79870605,1947-09-09,1947-09-13
