Rank,Club,Country,Level,Elo,From,To
None,Caen,FRA,1,1418.05541992,1988-07-03,1988-07-15
None,Caen,FRA,1,1412.28381348,1988-07-16,1988-07-23
None,Caen,FRA,1,1403.95739746,1988-07-24,1988-07-26
None,Caen,FRA,1,1401.59643555,1988-07-27,1988-07-30
None,Caen,FRA,1,1391.25915527,1988-07-31,1988-08-06
None,Caen,FRA,1,1383.96789551,1988-08-07,1988-08-12
None,Caen,FRA,1,1380.04992676,1988-08-13,1988-08-17
None,Caen,FRA,1,1390.07556152,1988-08-18,1988-08-20
None,Caen,FRA,1,1386.52636719,1988-08-21,1988-08-27
None,Caen,FRA,1,1394.32751465,1988-08-28,1988-09-02
None,Caen,FRA,1,1401.00219727,1988-09-03,1988-09-06
None,Caen,FRA,1,1400.02429199,1988-09-07,1988-09-07
None,Caen,FRA,1,1395.92736816,1988-09-08,1988-09-09
None,Caen,FRA,1,1393.44677734,1988-09-10,1988-09-17
None,Caen,FRA,1,1398.47473145,1988-09-18,1988-09-20
None,Caen,FRA,1,1405.84362793,1988-09-21,1988-10-01
None,Caen,FRA,1,1417.11010742,1988-10-02,1988-10-04
None,Caen,FRA,1,1418.11999512,1988-10-05,1988-10-05
None,Caen,FRA,1,1421.79785156,1988-10-06,1988-10-08
None,Caen,FRA,1,1420.45788574,1988-10-09,1988-10-14
None,Caen,FRA,1,1417.65332031,1988-10-15,1988-10-26
None,Caen,FRA,1,1420.42907715,1988-10-27,1988-10-29
None,Caen,FRA,1,1417.63818359,1988-10-30,1988-11-04
None,Caen,FRA,1,1406.58898926,1988-11-05,1988-11-08
None,Caen,FRA,1,1406.71862793,1988-11-09,1988-11-09
None,Caen,FRA,1,1427.3572998,1988-11-10,1988-11-12
None,Caen,FRA,1,1445.30822754,1988-11-13,1988-11-23
None,Caen,FRA,1,1441.70910645,1988-11-24,1988-11-25
None,Caen,FRA,1,1438.61450195,1988-11-26,1988-12-03
None,Caen,FRA,1,1438.10656738,1988-12-04,1988-12-07
None,Caen,FRA,1,1439.29492188,1988-12-08,1988-12-10
None,Caen,FRA,1,1437.26269531,1988-12-11,1988-12-13
None,Caen,FRA,1,1434.54675293,1988-12-14,1988-12-17
None,Caen,FRA,1,1427.04541016,1988-12-18,1989-02-04
None,Caen,FRA,1,1424.6229248,1989-02-05,1989-02-10
None,Caen,FRA,1,1433.81396484,1989-02-11,1989-02-18
None,Caen,FRA,1,1440.32836914,1989-02-19,1989-02-21
None,Caen,FRA,1,1453.25488281,1989-02-22,1989-03-01
None,Caen,FRA,1,1443.12963867,1989-03-02,1989-03-11
None,Caen,FRA,1,1440.27453613,1989-03-12,1989-03-14
None,Caen,FRA,1,1430.43811035,1989-03-15,1989-03-15
None,Caen,FRA,1,1429.33459473,1989-03-16,1989-03-25
None,Caen,FRA,1,1422.00695801,1989-03-26,1989-04-01
None,Caen,FRA,1,1418.09729004,1989-04-02,1989-04-11
None,Caen,FRA,1,1412.4901123,1989-04-12,1989-04-21
None,Caen,FRA,1,1414.47912598,1989-04-22,1989-05-05
None,Caen,FRA,1,1419.54882812,1989-05-06,1989-05-12
None,Caen,FRA,1,1422.98449707,1989-05-13,1989-05-20
None,Caen,FRA,1,1437.8215332,1989-05-21,1989-05-31
None,Caen,FRA,1,1447.90905762,1989-06-01,1989-07-21
None,Caen,FRA,1,1445.12805176,1989-07-22,1989-07-29
None,Caen,FRA,1,1451.31689453,1989-07-30,1989-08-01
None,Caen,FRA,1,1447.15039062,1989-08-02,1989-08-05
None,Caen,FRA,1,1442.6751709,1989-08-06,1989-08-09
None,Caen,FRA,1,1435.52697754,1989-08-10,1989-08-12
None,Caen,FRA,1,1437.32141113,1989-08-13,1989-08-19
None,Caen,FRA,1,1431.87841797,1989-08-20,1989-08-23
None,Caen,FRA,1,1447.78137207,1989-08-24,1989-08-26
None,Caen,FRA,1,1456.21374512,1989-08-27,1989-08-29
None,Caen,FRA,1,1451.81506348,1989-08-30,1989-09-09
None,Caen,FRA,1,1461.69042969,1989-09-10,1989-09-12
None,Caen,FRA,1,1464.61291504,1989-09-13,1989-09-13
None,Caen,FRA,1,1471.53540039,1989-09-14,1989-09-16
None,Caen,FRA,1,1476.52648926,1989-09-17,1989-09-22
None,Caen,FRA,1,1481.00109863,1989-09-23,1989-09-26
None,Caen,FRA,1,1485.00537109,1989-09-27,1989-09-27
None,Caen,FRA,1,1487.06872559,1989-09-28,1989-09-30
None,Caen,FRA,1,1482.61096191,1989-10-01,1989-10-03
None,Caen,FRA,1,1493.65429688,1989-10-04,1989-10-13
None,Caen,FRA,1,1490.74584961,1989-10-14,1989-10-17
None,Caen,FRA,1,1487.02099609,1989-10-18,1989-10-18
None,Caen,FRA,1,1492.14807129,1989-10-19,1989-10-21
None,Caen,FRA,1,1488.45727539,1989-10-22,1989-10-26
None,Caen,FRA,1,1483.62658691,1989-10-27,1989-10-31
None,Caen,FRA,1,1483.79553223,1989-11-01,1989-11-01
None,Caen,FRA,1,1485.30957031,1989-11-02,1989-11-04
None,Caen,FRA,1,1490.68688965,1989-11-05,1989-11-07
