Rank,Club,Country,Level,Elo,From,To
None,Celta,ESP,1,1636.70458984,1939-10-22,1939-12-03
None,Celta,ESP,1,1631.30212402,1939-12-04,1939-12-10
None,Celta,ESP,1,1620.67614746,1939-12-11,1939-12-17
None,Celta,ESP,1,1609.8001709,1939-12-18,1939-12-24
None,Celta,ESP,1,1599.64025879,1939-12-25,1939-12-31
None,Celta,ESP,1,1620.49169922,1940-01-01,1940-01-09
None,Celta,ESP,1,1631.06079102,1940-01-10,1940-01-14
None,Celta,ESP,1,1622.40759277,1940-01-15,1940-01-21
None,Celta,ESP,1,1608.29858398,1940-01-22,1940-01-28
None,Celta,ESP,1,1613.73022461,1940-01-29,1940-02-04
None,Celta,ESP,1,1605.82666016,1940-02-05,1940-02-11
None,Celta,ESP,1,1613.10620117,1940-02-12,1940-02-18
None,Celta,ESP,1,1624.95544434,1940-02-19,1940-02-25
None,Celta,ESP,1,1618.01184082,1940-02-26,1940-03-03
None,Celta,ESP,1,1629.28991699,1940-03-04,1940-03-10
None,Celta,ESP,1,1625.03100586,1940-03-11,1940-03-17
None,Celta,ESP,1,1633.95739746,1940-03-18,1940-03-24
None,Celta,ESP,1,1621.58447266,1940-03-25,1940-03-31
None,Celta,ESP,1,1629.63891602,1940-04-01,1940-04-07
None,Celta,ESP,1,1622.66137695,1940-04-08,1940-04-14
None,Celta,ESP,1,1626.7265625,1940-04-15,1940-04-21
None,Celta,ESP,1,1633.32641602,1940-04-22,1940-04-28
None,Celta,ESP,1,1624.02160645,1940-04-29,1940-09-29
None,Celta,ESP,1,1620.5916748,1940-09-30,1940-10-06
None,Celta,ESP,1,1633.06225586,1940-10-07,1940-10-13
None,Celta,ESP,1,1624.53186035,1940-10-14,1940-10-20
None,Celta,ESP,1,1623.54907227,1940-10-21,1940-10-27
None,Celta,ESP,1,1628.23010254,1940-10-28,1940-11-03
None,Celta,ESP,1,1623.3671875,1940-11-04,1940-11-10
None,Celta,ESP,1,1613.46484375,1940-11-11,1940-11-17
None,Celta,ESP,1,1606.53039551,1940-11-18,1940-11-24
None,Celta,ESP,1,1617.59326172,1940-11-25,1940-12-01
None,Celta,ESP,1,1612.55310059,1940-12-02,1940-12-08
None,Celta,ESP,1,1619.25097656,1940-12-09,1940-12-15
None,Celta,ESP,1,1607.16845703,1940-12-16,1940-12-22
None,Celta,ESP,1,1600.88110352,1940-12-23,1940-12-29
None,Celta,ESP,1,1604.85925293,1940-12-30,1941-01-05
None,Celta,ESP,1,1599.85119629,1941-01-06,1941-01-19
None,Celta,ESP,1,1583.02380371,1941-01-20,1941-01-26
None,Celta,ESP,1,1574.28649902,1941-01-27,1941-02-02
None,Celta,ESP,1,1570.50256348,1941-02-03,1941-02-09
None,Celta,ESP,1,1553.69567871,1941-02-10,1941-02-16
None,Celta,ESP,1,1548.59753418,1941-02-17,1941-03-02
None,Celta,ESP,1,1574.73181152,1941-03-03,1941-03-23
None,Celta,ESP,1,1578.73181152,1941-03-24,1941-03-30
None,Celta,ESP,1,1582.76489258,1941-03-31,1941-09-28
None,Celta,ESP,1,1585.64770508,1941-09-29,1941-10-05
None,Celta,ESP,1,1598.85449219,1941-10-06,1941-10-12
None,Celta,ESP,1,1616.52197266,1941-10-13,1941-10-19
None,Celta,ESP,1,1619.95385742,1941-10-20,1941-10-26
None,Celta,ESP,1,1625.30249023,1941-10-27,1941-11-02
None,Celta,ESP,1,1627.29602051,1941-11-03,1941-11-09
None,Celta,ESP,1,1644.05163574,1941-11-10,1941-11-16
None,Celta,ESP,1,1648.78771973,1941-11-17,1941-11-23
None,Celta,ESP,1,1643.13708496,1941-11-24,1941-11-30
None,Celta,ESP,1,1631.65454102,1941-12-01,1941-12-07
None,Celta,ESP,1,1617.33618164,1941-12-08,1941-12-14
None,Celta,ESP,1,1611.94604492,1941-12-15,1941-12-21
None,Celta,ESP,1,1618.37329102,1941-12-22,1942-01-04
None,Celta,ESP,1,1616.10693359,1942-01-05,1942-01-11
None,Celta,ESP,1,1606.93103027,1942-01-12,1942-01-18
None,Celta,ESP,1,1611.24719238,1942-01-19,1942-01-25
None,Celta,ESP,1,1601.98083496,1942-01-26,1942-02-01
None,Celta,ESP,1,1600.36242676,1942-02-02,1942-02-08
None,Celta,ESP,1,1594.60632324,1942-02-09,1942-02-15
None,Celta,ESP,1,1582.93164062,1942-02-16,1942-02-22
None,Celta,ESP,1,1596.78942871,1942-02-23,1942-03-01
None,Celta,ESP,1,1601.8458252,1942-03-02,1942-03-08
None,Celta,ESP,1,1598.78686523,1942-03-09,1942-03-22
None,Celta,ESP,1,1616.94506836,1942-03-23,1942-03-29
None,Celta,ESP,1,1617.23254395,1942-03-30,1942-04-05
None,Celta,ESP,1,1617.19384766,1942-04-06,1942-04-26
None,Celta,ESP,1,1609.19384766,1942-04-27,1942-09-27
None,Celta,ESP,1,1605.28405762,1942-09-28,1942-10-04
None,Celta,ESP,1,1610.00195312,1942-10-05,1942-10-11
None,Celta,ESP,1,1604.26623535,1942-10-12,1942-10-18
None,Celta,ESP,1,1609.9666748,1942-10-19,1942-10-25
None,Celta,ESP,1,1604.11669922,1942-10-26,1942-11-01
None,Celta,ESP,1,1610.45471191,1942-11-02,1942-11-08
None,Celta,ESP,1,1599.18823242,1942-11-09,1942-11-15
None,Celta,ESP,1,1587.37194824,1942-11-16,1942-11-22
None,Celta,ESP,1,1596.96032715,1942-11-23,1942-11-29
None,Celta,ESP,1,1600.93847656,1942-11-30,1942-12-06
None,Celta,ESP,1,1591.22302246,1942-12-07,1942-12-13
None,Celta,ESP,1,1598.39538574,1942-12-14,1942-12-27
None,Celta,ESP,1,1597.66687012,1942-12-28,1943-01-10
None,Celta,ESP,1,1602.2545166,1943-01-11,1943-01-17
