Rank,Club,Country,Level,Elo,From,To
None,Getafe,ESP,2,1332.92834473,1976-07-03,1976-09-05
None,Getafe,ESP,2,1329.56530762,1976-09-06,1976-09-12
None,Getafe,ESP,2,1337.11303711,1976-09-13,1976-09-15
None,Getafe,ESP,2,1346.75378418,1976-09-16,1976-09-18
None,Getafe,ESP,2,1343.73864746,1976-09-19,1976-09-26
None,Getafe,ESP,2,1353.22998047,1976-09-27,1976-09-29
None,Getafe,ESP,2,1368.98571777,1976-09-30,1976-10-03
None,Getafe,ESP,2,1365.67211914,1976-10-04,1976-10-12
None,Getafe,ESP,2,1362.49157715,1976-10-13,1976-10-17
None,Getafe,ESP,2,1375.88586426,1976-10-18,1976-10-20
None,Getafe,ESP,2,1377.01269531,1976-10-21,1976-10-24
None,Getafe,ESP,2,1383.01184082,1976-10-25,1976-10-31
None,Getafe,ESP,2,1388.61730957,1976-11-01,1976-11-03
None,Getafe,ESP,2,1391.01391602,1976-11-04,1976-11-04
None,Getafe,ESP,2,1398.01281738,1976-11-05,1976-11-07
None,Getafe,ESP,2,1405.2623291,1976-11-08,1976-11-14
None,Getafe,ESP,2,1385.62133789,1976-11-15,1976-11-21
None,Getafe,ESP,2,1392.28833008,1976-11-22,1976-11-24
None,Getafe,ESP,2,1396.09179688,1976-11-25,1976-11-28
None,Getafe,ESP,2,1383.70898438,1976-11-29,1976-12-05
None,Getafe,ESP,2,1381.09533691,1976-12-06,1976-12-08
None,Getafe,ESP,2,1374.64172363,1976-12-09,1976-12-12
None,Getafe,ESP,2,1369.50427246,1976-12-13,1976-12-19
None,Getafe,ESP,2,1374.48193359,1976-12-20,1977-01-02
None,Getafe,ESP,2,1370.94128418,1977-01-03,1977-01-09
None,Getafe,ESP,2,1359.94250488,1977-01-10,1977-01-16
None,Getafe,ESP,2,1364.01379395,1977-01-17,1977-01-23
None,Getafe,ESP,2,1378.29382324,1977-01-24,1977-01-30
None,Getafe,ESP,2,1382.53295898,1977-01-31,1977-02-06
None,Getafe,ESP,2,1377.69665527,1977-02-07,1977-02-13
None,Getafe,ESP,2,1373.68688965,1977-02-14,1977-02-20
None,Getafe,ESP,2,1371.67370605,1977-02-21,1977-02-27
None,Getafe,ESP,2,1367.53479004,1977-02-28,1977-03-02
None,Getafe,ESP,2,1367.28259277,1977-03-03,1977-03-05
