Rank,Club,Country,Level,Elo,From,To
None,Man United,ENG,1,1551.14025879,1946-07-07,1946-08-31
None,Man United,ENG,1,1556.31469727,1946-09-01,1946-09-04
None,Man United,ENG,1,1573.83886719,1946-09-05,1946-09-07
None,Man United,ENG,1,1587.93920898,1946-09-08,1946-09-11
None,Man United,ENG,1,1598.3770752,1946-09-12,1946-09-14
None,Man United,ENG,1,1603.08251953,1946-09-15,1946-09-18
None,Man United,ENG,1,1598.87158203,1946-09-19,1946-09-21
None,Man United,ENG,1,1592.00817871,1946-09-22,1946-09-28
None,Man United,ENG,1,1599.16748047,1946-09-29,1946-09-29
None,Man United,ENG,1,1616.16748047,1946-09-30,1946-10-03
None,Man United,ENG,1,1622.16748047,1946-10-04,1946-10-05
None,Man United,ENG,1,1617.68347168,1946-10-06,1946-10-12
None,Man United,ENG,1,1619.19140625,1946-10-13,1946-10-19
None,Man United,ENG,1,1611.49145508,1946-10-20,1946-10-26
None,Man United,ENG,1,1593.41870117,1946-10-27,1946-11-02
None,Man United,ENG,1,1595.7755127,1946-11-03,1946-11-09
None,Man United,ENG,1,1603.80944824,1946-11-10,1946-11-16
None,Man United,ENG,1,1620.47924805,1946-11-17,1946-11-23
None,Man United,ENG,1,1627.05224609,1946-11-24,1946-11-30
None,Man United,ENG,1,1626.17614746,1946-12-01,1946-12-07
None,Man United,ENG,1,1632.60107422,1946-12-08,1946-12-14
None,Man United,ENG,1,1625.89099121,1946-12-15,1946-12-25
None,Man United,ENG,1,1626.86437988,1946-12-26,1946-12-26
None,Man United,ENG,1,1631.07507324,1946-12-27,1946-12-28
None,Man United,ENG,1,1632.05358887,1946-12-29,1947-01-04
None,Man United,ENG,1,1638.10253906,1947-01-05,1947-01-18
None,Man United,ENG,1,1652.30639648,1947-01-19,1947-02-01
None,Man United,ENG,1,1637.93054199,1947-02-02,1947-02-05
None,Man United,ENG,1,1635.45690918,1947-02-06,1947-02-22
None,Man United,ENG,1,1643.20629883,1947-02-23,1947-03-01
None,Man United,ENG,1,1644.1237793,1947-03-02,1947-03-08
None,Man United,ENG,1,1649.03967285,1947-03-09,1947-03-15
None,Man United,ENG,1,1642.44726562,1947-03-16,1947-03-22
None,Man United,ENG,1,1649.74414062,1947-03-23,1947-03-29
None,Man United,ENG,1,1649.6340332,1947-03-30,1947-04-05
None,Man United,ENG,1,1658.92504883,1947-04-06,1947-04-07
None,Man United,ENG,1,1661.99084473,1947-04-08,1947-04-08
None,Man United,ENG,1,1670.19396973,1947-04-09,1947-04-12
None,Man United,ENG,1,1668.04553223,1947-04-13,1947-04-13
None,Man United,ENG,1,1658.04553223,1947-04-14,1947-04-19
None,Man United,ENG,1,1664.39904785,1947-04-20,1947-04-26
None,Man United,ENG,1,1673.28857422,1947-04-27,1947-05-03
None,Man United,ENG,1,1667.73327637,1947-05-04,1947-05-04
None,Man United,ENG,1,1671.73327637,1947-05-05,1947-05-10
None,Man United,ENG,1,1672.38000488,1947-05-11,1947-05-17
None,Man United,ENG,1,1678.6652832,1947-05-18,1947-05-20
None,Man United,ENG,1,1665.6652832,1947-05-21,1947-05-26
None,Man United,ENG,1,1691.12451172,1947-05-27,1947-08-23
None,Man United,ENG,1,1690.07214355,1947-08-24,1947-08-27
None,Man United,ENG,1,1697.32067871,1947-08-28,1947-08-30
None,Man United,ENG,1,1702.35290527,1947-08-31,1947-09-03
None,Man United,ENG,1,1705.07043457,1947-09-04,1947-09-06
None,Man United,ENG,1,1698.47583008,1947-09-07,1947-09-08
None,Man United,ENG,1,1696.73999023,1947-09-09,1947-09-13
None,Man United,ENG,1,1684.71765137,1947-09-14,1947-09-20
None,Man United,ENG,1,1683.29418945,1947-09-21,1947-09-27
None,Man United,ENG,1,1680.83398438,1947-09-28,1947-10-04
None,Man United,ENG,1,1676.72802734,1947-10-05,1947-10-11
None,Man United,ENG,1,1662.5534668,1947-10-12,1947-10-18
None,Man United,ENG,1,1655.13195801,1947-10-19,1947-10-19
None,Man United,ENG,1,1683.13195801,1947-10-20,1947-10-25
None,Man United,ENG,1,1689.2611084,1947-10-26,1947-11-01
None,Man United,ENG,1,1710.66259766,1947-11-02,1947-11-08
None,Man United,ENG,1,1687.70922852,1947-11-09,1947-11-15
None,Man United,ENG,1,1688.64123535,1947-11-16,1947-11-22
None,Man United,ENG,1,1689.57226562,1947-11-23,1947-11-29
None,Man United,ENG,1,1704.80615234,1947-11-30,1947-12-06
