Rank,Club,Country,Level,Elo,From,To
None,Montpellier,FRA,1,1197.45983887,1946-07-07,1946-08-18
None,Montpellier,FRA,1,1213.17468262,1946-08-19,1946-08-25
None,Montpellier,FRA,1,1227.58032227,1946-08-26,1946-09-01
None,Montpellier,FRA,1,1226.41662598,1946-09-02,1946-09-08
None,Montpellier,FRA,1,1223.41662598,1946-09-09,1946-09-12
None,Montpellier,FRA,1,1216.89282227,1946-09-13,1946-09-15
None,Montpellier,FRA,1,1228.83178711,1946-09-16,1946-09-22
None,Montpellier,FRA,1,1223.41162109,1946-09-23,1946-09-26
None,Montpellier,FRA,1,1229.2331543,1946-09-27,1946-09-29
None,Montpellier,FRA,1,1225.5793457,1946-09-30,1946-10-06
None,Montpellier,FRA,1,1240.734375,1946-10-07,1946-10-13
None,Montpellier,FRA,1,1234.80895996,1946-10-14,1946-10-17
None,Montpellier,FRA,1,1229.93261719,1946-10-18,1946-10-20
None,Montpellier,FRA,1,1237.06970215,1946-10-21,1946-10-27
None,Montpellier,FRA,1,1222.27734375,1946-10-28,1946-11-03
None,Montpellier,FRA,1,1220.91064453,1946-11-04,1946-11-10
None,Montpellier,FRA,1,1218.07421875,1946-11-11,1946-11-17
None,Montpellier,FRA,1,1227.95275879,1946-11-18,1946-11-24
None,Montpellier,FRA,1,1220.51647949,1946-11-25,1946-12-01
None,Montpellier,FRA,1,1218.03308105,1946-12-02,1946-12-08
None,Montpellier,FRA,1,1226.36315918,1946-12-09,1946-12-22
None,Montpellier,FRA,1,1229.49121094,1946-12-23,1946-12-29
None,Montpellier,FRA,1,1222.43273926,1946-12-30,1947-01-12
None,Montpellier,FRA,1,1218.43383789,1947-01-13,1947-01-19
None,Montpellier,FRA,1,1211.63232422,1947-01-20,1947-01-26
None,Montpellier,FRA,1,1203.6628418,1947-01-27,1947-02-09
None,Montpellier,FRA,1,1216.39770508,1947-02-10,1947-02-16
None,Montpellier,FRA,1,1209.6685791,1947-02-17,1947-02-23
None,Montpellier,FRA,1,1215.9942627,1947-02-24,1947-03-09
None,Montpellier,FRA,1,1223.68688965,1947-03-10,1947-03-18
None,Montpellier,FRA,1,1230.36413574,1947-03-19,1947-03-20
None,Montpellier,FRA,1,1228.37097168,1947-03-21,1947-03-26
None,Montpellier,FRA,1,1228.6385498,1947-03-27,1947-04-03
None,Montpellier,FRA,1,1228.99108887,1947-04-04,1947-04-06
None,Montpellier,FRA,1,1244.6184082,1947-04-07,1947-04-17
None,Montpellier,FRA,1,1242.17211914,1947-04-18,1947-04-20
None,Montpellier,FRA,1,1254.82580566,1947-04-21,1947-05-04
None,Montpellier,FRA,1,1250.82580566,1947-05-05,1947-05-08
None,Montpellier,FRA,1,1258.60437012,1947-05-09,1947-05-15
None,Montpellier,FRA,1,1272.91479492,1947-05-16,1947-05-27
None,Montpellier,FRA,1,1284.91479492,1947-05-28,1947-06-04
