Rank,Club,Country,Level,Elo,From,To
None,Nice,FRA,1,1340.80639648,1948-07-04,1948-08-22
None,Nice,FRA,1,1341.9576416,1948-08-23,1948-08-29
None,Nice,FRA,1,1350.36157227,1948-08-30,1948-09-04
None,Nice,FRA,1,1355.25061035,1948-09-05,1948-09-09
None,Nice,FRA,1,1351.16699219,1948-09-10,1948-09-12
None,Nice,FRA,1,1357.91625977,1948-09-13,1948-09-18
None,Nice,FRA,1,1343.70263672,1948-09-19,1948-09-23
None,Nice,FRA,1,1346.47070312,1948-09-24,1948-09-26
None,Nice,FRA,1,1343.40124512,1948-09-27,1948-10-03
None,Nice,FRA,1,1356.22229004,1948-10-04,1948-10-07
None,Nice,FRA,1,1365.55566406,1948-10-08,1948-10-10
None,Nice,FRA,1,1361.65209961,1948-10-11,1948-10-23
None,Nice,FRA,1,1354.65209961,1948-10-24,1948-10-24
None,Nice,FRA,1,1360.8572998,1948-10-25,1948-10-31
None,Nice,FRA,1,1362.85168457,1948-11-01,1948-11-07
None,Nice,FRA,1,1369.46484375,1948-11-08,1948-11-11
None,Nice,FRA,1,1370.36169434,1948-11-12,1948-11-14
None,Nice,FRA,1,1365.63525391,1948-11-15,1948-11-28
None,Nice,FRA,1,1362.12890625,1948-11-29,1948-12-05
None,Nice,FRA,1,1356.49963379,1948-12-06,1948-12-19
None,Nice,FRA,1,1359.81555176,1948-12-20,1948-12-25
None,Nice,FRA,1,1352.01696777,1948-12-26,1949-01-02
None,Nice,FRA,1,1357.60595703,1949-01-03,1949-01-16
None,Nice,FRA,1,1368.03112793,1949-01-17,1949-01-23
None,Nice,FRA,1,1363.72106934,1949-01-24,1949-02-06
None,Nice,FRA,1,1370.66601562,1949-02-07,1949-02-13
None,Nice,FRA,1,1376.73937988,1949-02-14,1949-02-20
None,Nice,FRA,1,1381.46911621,1949-02-21,1949-03-06
None,Nice,FRA,1,1377.20532227,1949-03-07,1949-03-13
None,Nice,FRA,1,1372.3026123,1949-03-14,1949-03-27
None,Nice,FRA,1,1391.10144043,1949-03-28,1949-04-10
None,Nice,FRA,1,1400.2767334,1949-04-11,1949-04-17
None,Nice,FRA,1,1394.52209473,1949-04-18,1949-04-24
None,Nice,FRA,1,1378.52209473,1949-04-25,1949-04-28
None,Nice,FRA,1,1372.52209473,1949-04-29,1949-05-01
None,Nice,FRA,1,1377.17456055,1949-05-02,1949-05-14
None,Nice,FRA,1,1372.32006836,1949-05-15,1949-05-25
None,Nice,FRA,1,1364.32006836,1949-05-26,1949-05-29
None,Nice,FRA,1,1357.62878418,1949-05-30,1949-06-05
None,Nice,FRA,1,1368.62878418,1949-06-06,1949-06-26
None,Nice,FRA,1,1352.62878418,1949-06-27,1949-06-30
None,Nice,FRA,1,1323.6862793,1949-07-01,1949-07-02
None,Nice,FRA,1,1317.35046387,1949-07-03,1949-08-21
None,Nice,FRA,1,1312.26550293,1949-08-22,1949-08-28
None,Nice,FRA,1,1324.34448242,1949-08-29,1949-09-03
None,Nice,FRA,1,1331.37548828,1949-09-04,1949-09-11
None,Nice,FRA,1,1325.34106445,1949-09-12,1949-09-18
None,Nice,FRA,1,1300.38635254,1949-09-19,1949-09-22
None,Nice,FRA,1,1295.8404541,1949-09-23,1949-09-24
None,Nice,FRA,1,1278.33349609,1949-09-25,1949-10-02
None,Nice,FRA,1,1273.31665039,1949-10-03,1949-10-16
None,Nice,FRA,1,1289.35083008,1949-10-17,1949-10-23
None,Nice,FRA,1,1290.07849121,1949-10-24,1949-11-06
None,Nice,FRA,1,1304.265625,1949-11-07,1949-11-20
None,Nice,FRA,1,1313.06811523,1949-11-21,1949-11-27
None,Nice,FRA,1,1314.53637695,1949-11-28,1949-12-04
None,Nice,FRA,1,1324.76550293,1949-12-05,1949-12-18
None,Nice,FRA,1,1329.6706543,1949-12-19,1949-12-25
None,Nice,FRA,1,1322.97180176,1949-12-26,1950-01-01
None,Nice,FRA,1,1325.9864502,1950-01-02,1950-01-14
None,Nice,FRA,1,1308.75427246,1950-01-15,1950-01-22
None,Nice,FRA,1,1311.69604492,1950-01-23,1950-01-29
None,Nice,FRA,1,1318.63195801,1950-01-30,1950-02-12
None,Nice,FRA,1,1331.49572754,1950-02-13,1950-02-16
None,Nice,FRA,1,1335.85827637,1950-02-17,1950-02-19
None,Nice,FRA,1,1350.12084961,1950-02-20,1950-03-05
None,Nice,FRA,1,1345.40405273,1950-03-06,1950-03-12
None,Nice,FRA,1,1364.70812988,1950-03-13,1950-03-19
None,Nice,FRA,1,1358.96813965,1950-03-20,1950-03-26
None,Nice,FRA,1,1364.91943359,1950-03-27,1950-04-06
