Rank,Club,Country,Level,Elo,From,To
None,Parma,ITA,2,1471.3972168,1948-07-04,1948-09-19
None,Parma,ITA,2,1457.19689941,1948-09-20,1948-09-26
None,Parma,ITA,2,1461.60852051,1948-09-27,1948-10-03
None,Parma,ITA,2,1468.89465332,1948-10-04,1948-10-10
None,Parma,ITA,2,1465.04272461,1948-10-11,1948-10-17
None,Parma,ITA,2,1470.41271973,1948-10-18,1948-10-24
None,Parma,ITA,2,1454.81921387,1948-10-25,1948-10-31
None,Parma,ITA,2,1458.95471191,1948-11-01,1948-11-04
None,Parma,ITA,2,1450.43310547,1948-11-05,1948-11-07
None,Parma,ITA,2,1447.09790039,1948-11-08,1948-11-14
None,Parma,ITA,2,1452.18334961,1948-11-15,1948-11-21
None,Parma,ITA,2,1446.55603027,1948-11-22,1948-11-28
None,Parma,ITA,2,1430.33435059,1948-11-29,1948-12-05
None,Parma,ITA,2,1430.49291992,1948-12-06,1948-12-12
None,Parma,ITA,2,1438.43945312,1948-12-13,1948-12-19
None,Parma,ITA,2,1438.24890137,1948-12-20,1948-12-26
None,Parma,ITA,2,1434.06750488,1948-12-27,1948-12-30
None,Parma,ITA,2,1430.74328613,1948-12-31,1949-01-02
None,Parma,ITA,2,1443.22631836,1949-01-03,1949-01-06
None,Parma,ITA,2,1448.46862793,1949-01-07,1949-01-09
None,Parma,ITA,2,1445.4810791,1949-01-10,1949-01-16
None,Parma,ITA,2,1442.22570801,1949-01-17,1949-01-23
None,Parma,ITA,2,1448.2722168,1949-01-24,1949-01-30
None,Parma,ITA,2,1440.50097656,1949-01-31,1949-02-06
None,Parma,ITA,2,1447.15002441,1949-02-07,1949-02-13
None,Parma,ITA,2,1447.5949707,1949-02-14,1949-02-20
None,Parma,ITA,2,1443.13891602,1949-02-21,1949-03-05
None,Parma,ITA,2,1445.13891602,1949-03-06,1949-03-06
None,Parma,ITA,2,1450.18652344,1949-03-07,1949-03-13
None,Parma,ITA,2,1455.01831055,1949-03-14,1949-03-20
None,Parma,ITA,2,1461.78405762,1949-03-21,1949-04-02
None,Parma,ITA,2,1473.78405762,1949-04-03,1949-04-03
None,Parma,ITA,2,1462.26611328,1949-04-04,1949-04-10
None,Parma,ITA,2,1457.38879395,1949-04-11,1949-04-17
None,Parma,ITA,2,1462.2701416,1949-04-18,1949-04-24
None,Parma,ITA,2,1467.11791992,1949-04-25,1949-05-01
None,Parma,ITA,2,1464.23339844,1949-05-02,1949-05-08
None,Parma,ITA,2,1470.98242188,1949-05-09,1949-05-15
None,Parma,ITA,2,1478.25024414,1949-05-16,1949-05-25
None,Parma,ITA,2,1484.25024414,1949-05-26,1949-05-29
None,Parma,ITA,2,1491.21325684,1949-05-30,1949-06-05
None,Parma,ITA,2,1478.86584473,1949-06-06,1949-06-12
None,Parma,ITA,2,1484.26318359,1949-06-13,1949-06-16
None,Parma,ITA,2,1480.26318359,1949-06-17,1949-06-19
None,Parma,ITA,2,1478.08666992,1949-06-20,1949-06-26
None,Parma,ITA,2,1483.71887207,1949-06-27,1949-06-29
None,Parma,ITA,2,1395.52648926,1949-06-30,1949-07-02
None,Parma,ITA,2,1401.8638916,1949-07-03,1949-07-03
None,Parma,ITA,2,1405.06945801,1949-07-04,1949-09-11
None,Parma,ITA,2,1341.02026367,1954-07-01,1954-09-19
None,Parma,ITA,2,1341.60290527,1954-09-20,1954-09-26
None,Parma,ITA,2,1338.30395508,1954-09-27,1954-10-03
None,Parma,ITA,2,1338.22802734,1954-10-04,1954-10-10
None,Parma,ITA,2,1343.81298828,1954-10-11,1954-10-17
None,Parma,ITA,2,1340.42272949,1954-10-18,1954-10-24
None,Parma,ITA,2,1345.54064941,1954-10-25,1954-10-31
None,Parma,ITA,2,1338.65637207,1954-11-01,1954-11-07
None,Parma,ITA,2,1336.89978027,1954-11-08,1954-11-14
None,Parma,ITA,2,1344.62866211,1954-11-15,1954-11-21
None,Parma,ITA,2,1349.92614746,1954-11-22,1954-12-12
None,Parma,ITA,2,1354.99353027,1954-12-13,1954-12-19
None,Parma,ITA,2,1354.26977539,1954-12-20,1954-12-26
None,Parma,ITA,2,1358.78393555,1954-12-27,1955-01-02
None,Parma,ITA,2,1356.42419434,1955-01-03,1955-01-09
None,Parma,ITA,2,1351.06396484,1955-01-10,1955-01-23
None,Parma,ITA,2,1347.07128906,1955-01-24,1955-01-30
None,Parma,ITA,2,1344.04748535,1955-01-31,1955-02-06
None,Parma,ITA,2,1357.96032715,1955-02-07,1955-02-13
None,Parma,ITA,2,1364.75769043,1955-02-14,1955-02-20
None,Parma,ITA,2,1360.64697266,1955-02-21,1955-02-27
None,Parma,ITA,2,1364.04321289,1955-02-28,1955-03-06
None,Parma,ITA,2,1362.0423584,1955-03-07,1955-03-13
None,Parma,ITA,2,1365.07543945,1955-03-14,1955-03-20
None,Parma,ITA,2,1361.67211914,1955-03-21,1955-04-03
None,Parma,ITA,2,1374.70495605,1955-04-04,1955-04-10
None,Parma,ITA,2,1370.84985352,1955-04-11,1955-04-17
None,Parma,ITA,2,1369.31384277,1955-04-18,1955-04-24
None,Parma,ITA,2,1359.09362793,1955-04-25,1955-05-01
None,Parma,ITA,2,1356.95202637,1955-05-02,1955-05-08
None,Parma,ITA,2,1353.41442871,1955-05-09,1955-05-15
None,Parma,ITA,2,1357.95239258,1955-05-16,1955-05-22
None,Parma,ITA,2,1362.40246582,1955-05-23,1955-06-05
None,Parma,ITA,2,1365.67480469,1955-06-06,1955-06-12
None,Parma,ITA,2,1372.32397461,1955-06-13,1955-06-23
None,Parma,ITA,2,1348.62475586,1955-06-24,1955-06-25
None,Parma,ITA,2,1359.87023926,1955-06-26,1955-09-18
None,Parma,ITA,2,1358.08312988,1955-09-19,1955-09-25
None,Parma,ITA,2,1370.95495605,1955-09-26,1955-10-02
None,Parma,ITA,2,1375.77270508,1955-10-03,1955-10-09
None,Parma,ITA,2,1371.64709473,1955-10-10,1955-10-16
None,Parma,ITA,2,1367.8927002,1955-10-17,1955-10-23
None,Parma,ITA,2,1374.02624512,1955-10-24,1955-10-30
None,Parma,ITA,2,1370.11474609,1955-10-31,1955-11-01
None,Parma,ITA,2,1341.28503418,1955-11-02,1955-11-06
None,Parma,ITA,2,1350.45507812,1955-11-07,1955-11-13
None,Parma,ITA,2,1358.3984375,1955-11-14,1955-11-23
None,Parma,ITA,2,1395.66699219,1955-11-24,1955-12-04
None,Parma,ITA,2,1389.38427734,1955-12-05,1955-12-11
None,Parma,ITA,2,1388.37902832,1955-12-12,1955-12-26
None,Parma,ITA,2,1392.9720459,1955-12-27,1956-01-01
None,Parma,ITA,2,1405.55957031,1956-01-02,1956-01-08
None,Parma,ITA,2,1401.78625488,1956-01-09,1956-01-15
None,Parma,ITA,2,1391.8762207,1956-01-16,1956-01-18
None,Parma,ITA,2,1408.34289551,1956-01-19,1956-01-22
None,Parma,ITA,2,1401.39453125,1956-01-23,1956-01-29
None,Parma,ITA,2,1383.63818359,1956-01-30,1956-02-05
None,Parma,ITA,2,1395.01489258,1956-02-06,1956-02-12
None,Parma,ITA,2,1425.19812012,1956-02-13,1956-02-19
None,Parma,ITA,2,1429.46276855,1956-02-20,1956-02-26
None,Parma,ITA,2,1421.96691895,1956-02-27,1956-03-04
None,Parma,ITA,2,1411.57434082,1956-03-05,1956-03-11
None,Parma,ITA,2,1419.6138916,1956-03-12,1956-03-18
None,Parma,ITA,2,1421.82788086,1956-03-19,1956-03-25
