Rank,Club,Country,Level,Elo,From,To
None,Rennes,FRA,1,1341.29150391,1945-07-01,1945-08-26
None,Rennes,FRA,1,1348.71618652,1945-08-27,1945-09-02
None,Rennes,FRA,1,1351.10131836,1945-09-03,1945-09-09
None,Rennes,FRA,1,1348.43432617,1945-09-10,1945-09-16
None,Rennes,FRA,1,1335.34179688,1945-09-17,1945-09-23
None,Rennes,FRA,1,1341.02746582,1945-09-24,1945-09-30
None,Rennes,FRA,1,1343.48693848,1945-10-01,1945-10-07
None,Rennes,FRA,1,1327.17370605,1945-10-08,1945-10-14
None,Rennes,FRA,1,1337.04699707,1945-10-15,1945-10-21
None,Rennes,FRA,1,1325.82568359,1945-10-22,1945-10-28
None,Rennes,FRA,1,1329.74914551,1945-10-29,1945-11-04
None,Rennes,FRA,1,1337.60437012,1945-11-05,1945-11-11
None,Rennes,FRA,1,1351.79785156,1945-11-12,1945-11-18
None,Rennes,FRA,1,1342.70373535,1945-11-19,1945-12-02
None,Rennes,FRA,1,1333.52905273,1945-12-03,1945-12-09
None,Rennes,FRA,1,1339.67285156,1945-12-10,1945-12-16
None,Rennes,FRA,1,1327.67285156,1945-12-17,1945-12-23
None,Rennes,FRA,1,1324.90014648,1945-12-24,1945-12-30
None,Rennes,FRA,1,1328.45361328,1945-12-31,1946-01-13
None,Rennes,FRA,1,1331.06091309,1946-01-14,1946-01-20
None,Rennes,FRA,1,1319.38549805,1946-01-21,1946-01-27
None,Rennes,FRA,1,1311.84216309,1946-01-28,1946-02-10
None,Rennes,FRA,1,1309.73474121,1946-02-11,1946-02-17
None,Rennes,FRA,1,1330.55273438,1946-02-18,1946-02-24
None,Rennes,FRA,1,1316.16333008,1946-02-25,1946-03-10
None,Rennes,FRA,1,1338.4630127,1946-03-11,1946-03-24
None,Rennes,FRA,1,1342.11804199,1946-03-25,1946-04-07
None,Rennes,FRA,1,1342.98693848,1946-04-08,1946-04-11
None,Rennes,FRA,1,1364.98693848,1946-04-12,1946-04-14
None,Rennes,FRA,1,1375.0489502,1946-04-15,1946-04-16
None,Rennes,FRA,1,1368.0489502,1946-04-17,1946-04-21
None,Rennes,FRA,1,1356.41992188,1946-04-22,1946-04-28
None,Rennes,FRA,1,1362.38635254,1946-04-29,1946-05-05
None,Rennes,FRA,1,1367.38562012,1946-05-06,1946-05-08
None,Rennes,FRA,1,1385.38562012,1946-05-09,1946-05-12
None,Rennes,FRA,1,1379.41992188,1946-05-13,1946-05-19
None,Rennes,FRA,1,1384.1529541,1946-05-20,1946-05-26
None,Rennes,FRA,1,1387.6204834,1946-05-27,1946-06-02
None,Rennes,FRA,1,1383.96008301,1946-06-03,1946-08-18
None,Rennes,FRA,1,1356.50598145,1946-08-19,1946-08-25
None,Rennes,FRA,1,1347.56616211,1946-08-26,1946-09-01
None,Rennes,FRA,1,1354.23681641,1946-09-02,1946-09-08
None,Rennes,FRA,1,1349.73193359,1946-09-09,1946-09-12
None,Rennes,FRA,1,1340.5032959,1946-09-13,1946-09-15
None,Rennes,FRA,1,1337.22937012,1946-09-16,1946-09-22
None,Rennes,FRA,1,1327.54040527,1946-09-23,1946-09-26
None,Rennes,FRA,1,1329.64953613,1946-09-27,1946-09-29
