Rank,Club,Country,Level,Elo,From,To
None,Saint-Etienne,FRA,1,1341.29150391,1945-07-01,1945-08-26
None,Saint-Etienne,FRA,1,1326.49707031,1945-08-27,1945-09-02
None,Saint-Etienne,FRA,1,1313.06420898,1945-09-03,1945-09-09
None,Saint-Etienne,FRA,1,1321.75622559,1945-09-10,1945-09-16
None,Saint-Etienne,FRA,1,1316.57836914,1945-09-17,1945-09-23
None,Saint-Etienne,FRA,1,1329.2565918,1945-09-24,1945-09-30
None,Saint-Etienne,FRA,1,1343.92260742,1945-10-01,1945-10-07
None,Saint-Etienne,FRA,1,1348.83532715,1945-10-08,1945-10-14
None,Saint-Etienne,FRA,1,1366.28881836,1945-10-15,1945-10-21
None,Saint-Etienne,FRA,1,1374.38842773,1945-10-22,1945-10-28
None,Saint-Etienne,FRA,1,1388.24584961,1945-10-29,1945-11-04
None,Saint-Etienne,FRA,1,1395.46862793,1945-11-05,1945-11-11
None,Saint-Etienne,FRA,1,1381.89428711,1945-11-12,1945-11-18
None,Saint-Etienne,FRA,1,1387.67150879,1945-11-19,1945-12-02
None,Saint-Etienne,FRA,1,1396.84606934,1945-12-03,1945-12-09
None,Saint-Etienne,FRA,1,1393.88977051,1945-12-10,1945-12-16
None,Saint-Etienne,FRA,1,1381.88977051,1945-12-17,1945-12-23
None,Saint-Etienne,FRA,1,1388.66540527,1945-12-24,1945-12-30
None,Saint-Etienne,FRA,1,1387.61315918,1945-12-31,1946-01-13
None,Saint-Etienne,FRA,1,1381.27246094,1946-01-14,1946-01-20
None,Saint-Etienne,FRA,1,1397.04943848,1946-01-21,1946-01-27
None,Saint-Etienne,FRA,1,1389.94482422,1946-01-28,1946-02-10
None,Saint-Etienne,FRA,1,1385.04138184,1946-02-11,1946-02-17
None,Saint-Etienne,FRA,1,1385.70898438,1946-02-18,1946-02-24
None,Saint-Etienne,FRA,1,1374.30993652,1946-02-25,1946-03-10
None,Saint-Etienne,FRA,1,1366.94628906,1946-03-11,1946-03-24
None,Saint-Etienne,FRA,1,1371.49414062,1946-03-25,1946-04-07
None,Saint-Etienne,FRA,1,1358.56274414,1946-04-08,1946-04-11
None,Saint-Etienne,FRA,1,1380.56274414,1946-04-12,1946-04-14
None,Saint-Etienne,FRA,1,1385.04174805,1946-04-15,1946-04-16
None,Saint-Etienne,FRA,1,1378.04174805,1946-04-17,1946-04-21
None,Saint-Etienne,FRA,1,1388.97583008,1946-04-22,1946-04-28
None,Saint-Etienne,FRA,1,1393.35827637,1946-04-29,1946-05-05
None,Saint-Etienne,FRA,1,1405.14685059,1946-05-06,1946-05-08
None,Saint-Etienne,FRA,1,1423.14685059,1946-05-09,1946-05-12
None,Saint-Etienne,FRA,1,1429.11254883,1946-05-13,1946-05-19
None,Saint-Etienne,FRA,1,1416.58825684,1946-05-20,1946-05-26
