Rank,Club,Country,Level,Elo,From,To
None,Sampdoria,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Sampdoria,ITA,1,1715.29162598,1946-09-23,1946-09-29
None,Sampdoria,ITA,1,1720.58666992,1946-09-30,1946-10-06
None,Sampdoria,ITA,1,1723.5769043,1946-10-07,1946-10-13
None,Sampdoria,ITA,1,1728.50268555,1946-10-14,1946-10-20
None,Sampdoria,ITA,1,1730.98681641,1946-10-21,1946-10-27
None,Sampdoria,ITA,1,1721.38684082,1946-10-28,1946-11-03
None,Sampdoria,ITA,1,1730.54589844,1946-11-04,1946-11-10
None,Sampdoria,ITA,1,1718.97729492,1946-11-11,1946-11-12
None,Sampdoria,ITA,1,1728.14990234,1946-11-13,1946-11-24
None,Sampdoria,ITA,1,1739.86474609,1946-11-25,1946-12-07
None,Sampdoria,ITA,1,1741.86474609,1946-12-08,1946-12-08
None,Sampdoria,ITA,1,1761.10253906,1946-12-09,1946-12-15
None,Sampdoria,ITA,1,1762.3013916,1946-12-16,1946-12-29
None,Sampdoria,ITA,1,1747.77819824,1946-12-30,1947-01-05
None,Sampdoria,ITA,1,1743.63659668,1947-01-06,1947-01-12
None,Sampdoria,ITA,1,1738.93835449,1947-01-13,1947-01-19
None,Sampdoria,ITA,1,1741.23974609,1947-01-20,1947-01-26
None,Sampdoria,ITA,1,1730.84423828,1947-01-27,1947-02-02
None,Sampdoria,ITA,1,1724.17858887,1947-02-03,1947-02-16
None,Sampdoria,ITA,1,1734.07165527,1947-02-17,1947-02-23
None,Sampdoria,ITA,1,1727.24645996,1947-02-24,1947-03-02
None,Sampdoria,ITA,1,1738.32080078,1947-03-03,1947-03-09
None,Sampdoria,ITA,1,1734.35473633,1947-03-10,1947-03-16
None,Sampdoria,ITA,1,1730.24816895,1947-03-17,1947-03-23
None,Sampdoria,ITA,1,1722.52026367,1947-03-24,1947-03-30
None,Sampdoria,ITA,1,1733.59899902,1947-03-31,1947-04-06
None,Sampdoria,ITA,1,1729.32128906,1947-04-07,1947-04-13
None,Sampdoria,ITA,1,1726.04931641,1947-04-14,1947-04-20
None,Sampdoria,ITA,1,1721.16955566,1947-04-21,1947-04-25
None,Sampdoria,ITA,1,1726.56970215,1947-04-26,1947-04-28
None,Sampdoria,ITA,1,1729.56970215,1947-04-29,1947-05-04
None,Sampdoria,ITA,1,1734.39880371,1947-05-05,1947-05-14
None,Sampdoria,ITA,1,1737.39880371,1947-05-15,1947-05-25
None,Sampdoria,ITA,1,1743.03161621,1947-05-26,1947-06-01
None,Sampdoria,ITA,1,1739.40844727,1947-06-02,1947-06-08
None,Sampdoria,ITA,1,1725.02319336,1947-06-09,1947-06-15
None,Sampdoria,ITA,1,1719.15588379,1947-06-16,1947-06-22
None,Sampdoria,ITA,1,1723.96459961,1947-06-23,1947-06-29
None,Sampdoria,ITA,1,1718.4251709,1947-06-30,1947-07-06
None,Sampdoria,ITA,1,1698.00048828,1947-07-07,1947-09-14
None,Sampdoria,ITA,1,1692.34033203,1947-09-15,1947-09-21
None,Sampdoria,ITA,1,1688.22692871,1947-09-22,1947-09-28
None,Sampdoria,ITA,1,1680.65246582,1947-09-29,1947-10-05
None,Sampdoria,ITA,1,1665.53015137,1947-10-06,1947-10-19
None,Sampdoria,ITA,1,1671.70410156,1947-10-20,1947-10-26
None,Sampdoria,ITA,1,1668.02758789,1947-10-27,1947-11-02
None,Sampdoria,ITA,1,1682.3359375,1947-11-03,1947-11-15
None,Sampdoria,ITA,1,1653.3359375,1947-11-16,1947-11-16
None,Sampdoria,ITA,1,1649.75512695,1947-11-17,1947-11-23
None,Sampdoria,ITA,1,1644.89147949,1947-11-24,1947-11-30
None,Sampdoria,ITA,1,1649.78039551,1947-12-01,1947-12-07
None,Sampdoria,ITA,1,1643.22070312,1947-12-08,1947-12-18
None,Sampdoria,ITA,1,1647.22070312,1947-12-19,1947-12-21
None,Sampdoria,ITA,1,1640.9942627,1947-12-22,1947-12-28
None,Sampdoria,ITA,1,1638.18725586,1947-12-29,1948-01-01
None,Sampdoria,ITA,1,1639.57727051,1948-01-02,1948-01-04
None,Sampdoria,ITA,1,1632.91577148,1948-01-05,1948-01-11
None,Sampdoria,ITA,1,1649.23681641,1948-01-12,1948-01-18
None,Sampdoria,ITA,1,1646.38586426,1948-01-19,1948-01-25
None,Sampdoria,ITA,1,1645.74499512,1948-01-26,1948-02-08
None,Sampdoria,ITA,1,1651.19360352,1948-02-09,1948-02-15
None,Sampdoria,ITA,1,1644.30664062,1948-02-16,1948-02-22
None,Sampdoria,ITA,1,1659.05102539,1948-02-23,1948-02-29
None,Sampdoria,ITA,1,1664.16418457,1948-03-01,1948-03-07
None,Sampdoria,ITA,1,1682.08374023,1948-03-08,1948-03-21
None,Sampdoria,ITA,1,1676.37658691,1948-03-22,1948-03-28
None,Sampdoria,ITA,1,1684.83093262,1948-03-29,1948-04-04
None,Sampdoria,ITA,1,1688.64404297,1948-04-05,1948-04-05
None,Sampdoria,ITA,1,1694.64404297,1948-04-06,1948-04-11
None,Sampdoria,ITA,1,1688.9387207,1948-04-12,1948-04-22
None,Sampdoria,ITA,1,1684.4786377,1948-04-23,1948-04-25
None,Sampdoria,ITA,1,1683.35656738,1948-04-26,1948-05-02
None,Sampdoria,ITA,1,1676.9095459,1948-05-03,1948-05-06
None,Sampdoria,ITA,1,1680.70251465,1948-05-07,1948-05-09
None,Sampdoria,ITA,1,1685.73571777,1948-05-10,1948-05-17
None,Sampdoria,ITA,1,1658.73571777,1948-05-18,1948-05-23
None,Sampdoria,ITA,1,1654.71203613,1948-05-24,1948-05-27
None,Sampdoria,ITA,1,1652.43017578,1948-05-28,1948-05-30
None,Sampdoria,ITA,1,1657.13989258,1948-05-31,1948-06-06
None,Sampdoria,ITA,1,1644.70397949,1948-06-07,1948-06-13
None,Sampdoria,ITA,1,1648.50427246,1948-06-14,1948-06-20
None,Sampdoria,ITA,1,1654.20471191,1948-06-21,1948-06-27
None,Sampdoria,ITA,1,1660.42260742,1948-06-28,1948-07-04
None,Sampdoria,ITA,1,1665.21484375,1948-07-05,1948-09-19
None,Sampdoria,ITA,1,1659.39001465,1948-09-20,1948-09-26
