Rank,Club,Country,Level,Elo,From,To
None,Southampton,ENG,2,1365.06604004,1946-07-07,1946-09-04
None,Southampton,ENG,2,1375.55163574,1946-09-05,1946-09-07
None,Southampton,ENG,2,1372.41040039,1946-09-08,1946-09-09
None,Southampton,ENG,2,1366.74035645,1946-09-10,1946-09-14
None,Southampton,ENG,2,1375.32336426,1946-09-15,1946-09-21
None,Southampton,ENG,2,1366.89038086,1946-09-22,1946-09-28
None,Southampton,ENG,2,1371.73193359,1946-09-29,1946-09-29
None,Southampton,ENG,2,1388.73193359,1946-09-30,1946-10-03
None,Southampton,ENG,2,1385.22290039,1946-10-04,1946-10-05
None,Southampton,ENG,2,1378.53625488,1946-10-06,1946-10-12
None,Southampton,ENG,2,1376.99926758,1946-10-13,1946-10-19
None,Southampton,ENG,2,1379.08959961,1946-10-20,1946-10-24
None,Southampton,ENG,2,1387.73632812,1946-10-25,1946-10-26
None,Southampton,ENG,2,1398.51330566,1946-10-27,1946-11-02
None,Southampton,ENG,2,1390.31994629,1946-11-03,1946-11-09
None,Southampton,ENG,2,1388.28393555,1946-11-10,1946-11-16
None,Southampton,ENG,2,1394.90686035,1946-11-17,1946-11-23
None,Southampton,ENG,2,1400.8248291,1946-11-24,1946-11-30
None,Southampton,ENG,2,1408.47631836,1946-12-01,1946-12-07
None,Southampton,ENG,2,1414.84606934,1946-12-08,1946-12-14
None,Southampton,ENG,2,1403.7824707,1946-12-15,1946-12-25
None,Southampton,ENG,2,1405.40612793,1946-12-26,1946-12-26
None,Southampton,ENG,2,1402.07617188,1946-12-27,1946-12-28
None,Southampton,ENG,2,1408.77038574,1946-12-29,1947-01-04
None,Southampton,ENG,2,1403.09851074,1947-01-05,1947-01-18
None,Southampton,ENG,2,1390.4921875,1947-01-19,1947-02-01
None,Southampton,ENG,2,1385.20983887,1947-02-02,1947-02-05
None,Southampton,ENG,2,1395.45983887,1947-02-06,1947-02-08
None,Southampton,ENG,2,1386.37719727,1947-02-09,1947-02-15
None,Southampton,ENG,2,1403.1583252,1947-02-16,1947-02-22
None,Southampton,ENG,2,1389.06555176,1947-02-23,1947-03-01
None,Southampton,ENG,2,1399.49145508,1947-03-02,1947-03-22
None,Southampton,ENG,2,1388.32116699,1947-03-23,1947-03-29
None,Southampton,ENG,2,1398.41418457,1947-03-30,1947-04-04
None,Southampton,ENG,2,1395.34716797,1947-04-05,1947-04-05
None,Southampton,ENG,2,1388.34838867,1947-04-06,1947-04-07
None,Southampton,ENG,2,1380.92565918,1947-04-08,1947-04-12
None,Southampton,ENG,2,1370.78479004,1947-04-13,1947-04-13
None,Southampton,ENG,2,1360.78479004,1947-04-14,1947-04-19
None,Southampton,ENG,2,1367.88195801,1947-04-20,1947-04-26
None,Southampton,ENG,2,1371.39746094,1947-04-27,1947-05-03
None,Southampton,ENG,2,1361.95874023,1947-05-04,1947-05-04
None,Southampton,ENG,2,1365.95874023,1947-05-05,1947-05-10
None,Southampton,ENG,2,1373.53515625,1947-05-11,1947-05-20
None,Southampton,ENG,2,1360.53515625,1947-05-21,1947-05-24
None,Southampton,ENG,2,1368.69348145,1947-05-25,1947-05-26
None,Southampton,ENG,2,1383.19750977,1947-05-27,1947-08-23
None,Southampton,ENG,2,1384.09936523,1947-08-24,1947-08-27
None,Southampton,ENG,2,1390.63671875,1947-08-28,1947-08-30
None,Southampton,ENG,2,1381.56481934,1947-08-31,1947-09-01
None,Southampton,ENG,2,1390.84423828,1947-09-02,1947-09-06
None,Southampton,ENG,2,1396.11242676,1947-09-07,1947-09-08
None,Southampton,ENG,2,1381.95373535,1947-09-09,1947-09-13
