Rank,Club,Country,Level,Elo,From,To
None,Wolfsburg,FRG,1,1373.58251953,1954-07-01,1954-07-06
None,Wolfsburg,FRG,1,1417.58251953,1954-07-07,1954-08-22
None,Wolfsburg,FRG,1,1423.27819824,1954-08-23,1954-08-29
None,Wolfsburg,FRG,1,1432.72888184,1954-08-30,1954-09-12
None,Wolfsburg,FRG,1,1429.09326172,1954-09-13,1954-09-19
None,Wolfsburg,FRG,1,1425.2755127,1954-09-20,1954-09-27
None,Wolfsburg,FRG,1,1401.2755127,1954-09-28,1954-10-03
None,Wolfsburg,FRG,1,1400.05895996,1954-10-04,1954-10-10
None,Wolfsburg,FRG,1,1389.89074707,1954-10-11,1954-10-17
None,Wolfsburg,FRG,1,1362.89074707,1954-10-18,1954-10-24
None,Wolfsburg,FRG,1,1360.49829102,1954-10-25,1954-10-31
None,Wolfsburg,FRG,1,1371.45666504,1954-11-01,1954-11-07
None,Wolfsburg,FRG,1,1374.19848633,1954-11-08,1954-11-14
None,Wolfsburg,FRG,1,1371.01806641,1954-11-15,1954-11-17
None,Wolfsburg,FRG,1,1371.86499023,1954-11-18,1954-11-28
None,Wolfsburg,FRG,1,1364.36621094,1954-11-29,1954-12-02
None,Wolfsburg,FRG,1,1350.36621094,1954-12-03,1954-12-05
None,Wolfsburg,FRG,1,1340.51782227,1954-12-06,1954-12-22
None,Wolfsburg,FRG,1,1346.51782227,1954-12-23,1954-12-26
None,Wolfsburg,FRG,1,1342.23449707,1954-12-27,1955-01-02
None,Wolfsburg,FRG,1,1343.56994629,1955-01-03,1955-01-09
None,Wolfsburg,FRG,1,1349.68359375,1955-01-10,1955-01-16
None,Wolfsburg,FRG,1,1367.28515625,1955-01-17,1955-01-23
None,Wolfsburg,FRG,1,1364.36047363,1955-01-24,1955-01-30
None,Wolfsburg,FRG,1,1366.64758301,1955-01-31,1955-02-06
None,Wolfsburg,FRG,1,1372.54162598,1955-02-07,1955-02-13
None,Wolfsburg,FRG,1,1382.59680176,1955-02-14,1955-02-20
None,Wolfsburg,FRG,1,1382.96044922,1955-02-21,1955-03-06
None,Wolfsburg,FRG,1,1375.91455078,1955-03-07,1955-03-13
None,Wolfsburg,FRG,1,1378.39733887,1955-03-14,1955-03-20
None,Wolfsburg,FRG,1,1375.72155762,1955-03-21,1955-03-27
None,Wolfsburg,FRG,1,1399.08544922,1955-03-28,1955-03-31
None,Wolfsburg,FRG,1,1383.08544922,1955-04-01,1955-04-03
None,Wolfsburg,FRG,1,1388.78479004,1955-04-04,1955-04-11
None,Wolfsburg,FRG,1,1393.62072754,1955-04-12,1955-04-24
None,Wolfsburg,FRG,1,1389.04748535,1955-04-25,1955-05-01
None,Wolfsburg,FRG,1,1381.71594238,1955-05-02,1955-05-29
None,Wolfsburg,FRG,1,1382.71594238,1955-05-30,1955-08-22
None,Wolfsburg,FRG,1,1368.71594238,1955-08-23,1955-08-28
None,Wolfsburg,FRG,1,1381.19152832,1955-08-29,1955-09-04
None,Wolfsburg,FRG,1,1376.67077637,1955-09-05,1955-09-11
None,Wolfsburg,FRG,1,1375.15087891,1955-09-12,1955-09-14
None,Wolfsburg,FRG,1,1266.17224121,1955-09-15,1955-09-18
None,Wolfsburg,FRG,1,1274.13562012,1955-09-19,1955-10-02
None,Wolfsburg,FRG,1,1279.87915039,1955-10-03,1955-10-09
None,Wolfsburg,FRG,1,1293.52282715,1955-10-10,1955-10-12
None,Wolfsburg,FRG,1,1328.33349609,1955-10-13,1955-10-16
None,Wolfsburg,FRG,1,1322.21008301,1955-10-17,1955-10-23
None,Wolfsburg,FRG,1,1333.41870117,1955-10-24,1955-10-30
None,Wolfsburg,FRG,1,1332.88183594,1955-10-31,1955-11-01
None,Wolfsburg,FRG,1,1370.74365234,1955-11-02,1955-11-06
None,Wolfsburg,FRG,1,1361.55310059,1955-11-07,1955-11-13
None,Wolfsburg,FRG,1,1367.52258301,1955-11-14,1955-11-20
None,Wolfsburg,FRG,1,1356.29040527,1955-11-21,1955-11-23
None,Wolfsburg,FRG,1,1310.07983398,1955-11-24,1955-11-27
None,Wolfsburg,FRG,1,1314.66235352,1955-11-28,1955-12-04
None,Wolfsburg,FRG,1,1311.06665039,1955-12-05,1955-12-11
None,Wolfsburg,FRG,1,1314.6114502,1955-12-12,1956-01-08
None,Wolfsburg,FRG,1,1312.50952148,1956-01-09,1956-01-15
None,Wolfsburg,FRG,1,1307.26647949,1956-01-16,1956-01-22
None,Wolfsburg,FRG,1,1316.08166504,1956-01-23,1956-01-29
None,Wolfsburg,FRG,1,1311.05615234,1956-01-30,1956-02-05
None,Wolfsburg,FRG,1,1321.71826172,1956-02-06,1956-02-12
None,Wolfsburg,FRG,1,1315.26159668,1956-02-13,1956-02-19
None,Wolfsburg,FRG,1,1307.66088867,1956-02-20,1956-02-26
None,Wolfsburg,FRG,1,1319.39074707,1956-02-27,1956-03-11
None,Wolfsburg,FRG,1,1314.78051758,1956-03-12,1956-03-18
None,Wolfsburg,FRG,1,1312.41271973,1956-03-19,1956-03-25
None,Wolfsburg,FRG,1,1322.38537598,1956-03-26,1956-04-08
None,Wolfsburg,FRG,1,1324.85632324,1956-04-09,1956-04-15
None,Wolfsburg,FRG,1,1315.85595703,1956-04-16,1956-04-22
None,Wolfsburg,FRG,1,1310.81054688,1956-04-23,1956-04-29
None,Wolfsburg,FRG,1,1304.97766113,1956-04-30,1956-08-01
None,Wolfsburg,FRG,1,1302.92041016,1956-08-02,1956-08-19
None,Wolfsburg,FRG,1,1297.98132324,1956-08-20,1956-08-26
None,Wolfsburg,FRG,1,1290.77624512,1956-08-27,1956-09-02
None,Wolfsburg,FRG,1,1279.53942871,1956-09-03,1956-09-06
None,Wolfsburg,FRG,1,1281.40637207,1956-09-07,1956-09-09
None,Wolfsburg,FRG,1,1271.31506348,1956-09-10,1956-09-16
None,Wolfsburg,FRG,1,1277.81738281,1956-09-17,1956-09-23
None,Wolfsburg,FRG,1,1274.33581543,1956-09-24,1956-09-30
None,Wolfsburg,FRG,1,1264.41943359,1956-10-01,1956-10-07
None,Wolfsburg,FRG,1,1260.22607422,1956-10-08,1956-10-14
None,Wolfsburg,FRG,1,1269.03210449,1956-10-15,1956-10-17
None,Wolfsburg,FRG,1,1273.18395996,1956-10-18,1956-10-21
None,Wolfsburg,FRG,1,1266.05029297,1956-10-22,1956-10-28
None,Wolfsburg,FRG,1,1272.00146484,1956-10-29,1956-11-04
None,Wolfsburg,FRG,1,1276.97595215,1956-11-05,1956-11-11
None,Wolfsburg,FRG,1,1273.43127441,1956-11-12,1956-11-21
None,Wolfsburg,FRG,1,1266.98706055,1956-11-22,1956-11-25
None,Wolfsburg,FRG,1,1264.33251953,1956-11-26,1956-12-02
None,Wolfsburg,FRG,1,1276.6673584,1956-12-03,1956-12-09
None,Wolfsburg,FRG,1,1286.51806641,1956-12-10,1957-01-06
None,Wolfsburg,FRG,1,1305.9786377,1957-01-07,1957-01-13
None,Wolfsburg,FRG,1,1312.39123535,1957-01-14,1957-01-20
None,Wolfsburg,FRG,1,1307.23901367,1957-01-21,1957-02-03
None,Wolfsburg,FRG,1,1305.99560547,1957-02-04,1957-02-10
